id,parents,labels
DESC154096,DESC146528,Nias
DESC146527,DESC146528,Seran
DESC150760,DESC146528,Singapour
DESC154097,DESC146528,Sumatra
DESC148984,DESC146528,Sumba
DESC153293,DESC146528,Timor
DESC154083,DESC154081,Laos
DESC154084,DESC154081,Malaisie
DESC1016490,DESC154081,Mékong (Fleuve)
DESC143073,DESC154081,Philippines
DESC956094,DESC143073,Luçon
DESC143072,DESC143073,Manille
DESC1140931,DESC143073,Palawan
DESC139344,DESC154081,Thaïlande
DESC155691,DESC139344,Bangkok
DESC146425,DESC154081,Viet-Nam
DESC870841,DESC146425,Annam
DESC870029,DESC146425,Cochinchine
DESC154122,DESC146425,Hanoï
DESC146424,DESC146425,Saigon
DESC154123,DESC146425,Tonkin
DESC68535,DESC154073,Asie mineure
DESC153112,DESC154073,Caucase
DESC153689,DESC153112,Arménie
DESC141612,DESC153689,Erevan
DESC141616,DESC153689,Etchmiadzine
DESC155180,DESC153112,Azerbaïdjan
DESC141619,DESC155180,Bakou
DESC153111,DESC153112,Géorgie
DESC141623,DESC153111,Tbilissi
DESC1142226,DESC153111,Zougdidi
DESC153521,DESC154073,Extrême Orient
DESC154133,DESC153521,Chine
DESC144286,DESC154133,Canton
DESC138061,DESC154133,Henan
DESC147795,DESC154133,Hong Kong
DESC147801,DESC154133,Mandchourie
DESC148779,DESC154133,Pékin
DESC152131,DESC154133,Shanghaï
DESC151310,DESC154133,Shenyang
DESC148791,DESC154133,Tibet
DESC783245,DESC154133,Xin-Yang (Province)
DESC783252,DESC783245,Urumqi
DESC154132,DESC153521,Corée
DESC1060175,DESC154132,République de Corée
DESC993918,DESC1060175,Séoul
DESC1060173,DESC154132,République populaire démocratique de Corée
DESC154137,DESC153521,Japon
DESC153408,DESC154137,Azuchi
DESC154138,DESC154137,Gifu
DESC146452,DESC154137,Kyoto
DESC1122929,DESC154137,Osaka
DESC139101,DESC154137,Tokyo
DESC154139,DESC154137,Yokohama
DESC153520,DESC153521,Taïwan
DESC154159,DESC154073,Moyen Orient
DESC154160,DESC154159,Arabie Saoudite
DESC139124,DESC154159,Assyrie
DESC145421,DESC154159,Bahrein
DESC154052,DESC154159,Egypte
DESC154053,DESC154052,Alexandrie
DESC874709,DESC154052,Antinoe
DESC944123,DESC154052,Héliopolis
